Question,Intent,Destination
Where is Reception?,Navigate,Reception
Where is Registration?,Navigate,Registration
Where is Billing?,Navigate,Billing
Where is Emergency Department?,Navigate,Emergency Department
Where is Triage?,Navigate,Triage
Where is Pharmacy?,Navigate,Pharmacy
Where is Laboratory?,Navigate,Laboratory
Where is Blood Collection?,Navigate,Blood Collection
Where is Cafeteria?,Navigate,Cafeteria
Where is Coffee Shop?,Navigate,Coffee Shop
Where is Prayer Room?,Navigate,Prayer Room
Where is ATM?,Navigate,ATM
Where is Cardiology?,Navigate,Cardiology
Where is Neurology?,Navigate,Neurology
Where is Gastroenterology?,Navigate,Gastroenterology
Where is Orthopedics?,Navigate,Orthopedics
Where is Pediatrics?,Navigate,Pediatrics
Where is ENT?,Navigate,ENT
Where is Dermatology?,Navigate,Dermatology
Where is Urology?,Navigate,Urology
Where is Physiotherapy?,Navigate,Physiotherapy
Where is Consultation Room 1?,Navigate,Consultation Room 1
Where is Consultation Room 2?,Navigate,Consultation Room 2
Where is Radiology?,Navigate,Radiology
Where is MRI?,Navigate,MRI
Where is CT Scan?,Navigate,CT Scan
Where is Ultrasound?,Navigate,Ultrasound
Where is ICU?,Navigate,ICU
Where is NICU?,Navigate,NICU
Where is PICU?,Navigate,PICU
Where is Operation Theatre 1?,Navigate,Operation Theatre 1
Where is Operation Theatre 2?,Navigate,Operation Theatre 2
Where is Recovery Room?,Navigate,Recovery Room
Where is Ophthalmology?,Navigate,Ophthalmology
Where is Dental?,Navigate,Dental
Take me to Reception.,Navigate,Reception
Take me to Registration.,Navigate,Registration
Take me to Billing.,Navigate,Billing
Take me to Emergency Department.,Navigate,Emergency Department
Take me to Triage.,Navigate,Triage
Take me to Pharmacy.,Navigate,Pharmacy
Take me to Laboratory.,Navigate,Laboratory
Take me to Blood Collection.,Navigate,Blood Collection
Take me to Cafeteria.,Navigate,Cafeteria
Take me to Coffee Shop.,Navigate,Coffee Shop
Take me to Prayer Room.,Navigate,Prayer Room
Take me to ATM.,Navigate,ATM
Take me to Cardiology.,Navigate,Cardiology
Take me to Neurology.,Navigate,Neurology
Take me to Gastroenterology.,Navigate,Gastroenterology
Take me to Orthopedics.,Navigate,Orthopedics
Take me to Pediatrics.,Navigate,Pediatrics
Take me to ENT.,Navigate,ENT
Take me to Dermatology.,Navigate,Dermatology
Take me to Urology.,Navigate,Urology
Take me to Physiotherapy.,Navigate,Physiotherapy
Take me to Consultation Room 1.,Navigate,Consultation Room 1
Take me to Consultation Room 2.,Navigate,Consultation Room 2
Take me to Radiology.,Navigate,Radiology
Take me to MRI.,Navigate,MRI
Take me to CT Scan.,Navigate,CT Scan
Take me to Ultrasound.,Navigate,Ultrasound
Take me to ICU.,Navigate,ICU
Take me to NICU.,Navigate,NICU
Take me to PICU.,Navigate,PICU
Take me to Operation Theatre 1.,Navigate,Operation Theatre 1
Take me to Operation Theatre 2.,Navigate,Operation Theatre 2
Take me to Recovery Room.,Navigate,Recovery Room
Take me to Ophthalmology.,Navigate,Ophthalmology
Take me to Dental.,Navigate,Dental
Guide me to Reception.,Navigate,Reception
Guide me to Registration.,Navigate,Registration
Guide me to Billing.,Navigate,Billing
Guide me to Emergency Department.,Navigate,Emergency Department
Guide me to Triage.,Navigate,Triage
Guide me to Pharmacy.,Navigate,Pharmacy
Guide me to Laboratory.,Navigate,Laboratory
Guide me to Blood Collection.,Navigate,Blood Collection
Guide me to Cafeteria.,Navigate,Cafeteria
Guide me to Coffee Shop.,Navigate,Coffee Shop
Guide me to Prayer Room.,Navigate,Prayer Room
Guide me to ATM.,Navigate,ATM
Guide me to Cardiology.,Navigate,Cardiology
Guide me to Neurology.,Navigate,Neurology
Guide me to Gastroenterology.,Navigate,Gastroenterology
Guide me to Orthopedics.,Navigate,Orthopedics
Guide me to Pediatrics.,Navigate,Pediatrics
Guide me to ENT.,Navigate,ENT
Guide me to Dermatology.,Navigate,Dermatology
Guide me to Urology.,Navigate,Urology
Guide me to Physiotherapy.,Navigate,Physiotherapy
Guide me to Consultation Room 1.,Navigate,Consultation Room 1
Guide me to Consultation Room 2.,Navigate,Consultation Room 2
Guide me to Radiology.,Navigate,Radiology
Guide me to MRI.,Navigate,MRI
Guide me to CT Scan.,Navigate,CT Scan
Guide me to Ultrasound.,Navigate,Ultrasound
Guide me to ICU.,Navigate,ICU
Guide me to NICU.,Navigate,NICU
Guide me to PICU.,Navigate,PICU
Guide me to Operation Theatre 1.,Navigate,Operation Theatre 1
Guide me to Operation Theatre 2.,Navigate,Operation Theatre 2
Guide me to Recovery Room.,Navigate,Recovery Room
Guide me to Ophthalmology.,Navigate,Ophthalmology
Guide me to Dental.,Navigate,Dental
How do I reach Reception?,Navigate,Reception
How do I reach Registration?,Navigate,Registration
How do I reach Billing?,Navigate,Billing
How do I reach Emergency Department?,Navigate,Emergency Department
How do I reach Triage?,Navigate,Triage
How do I reach Pharmacy?,Navigate,Pharmacy
How do I reach Laboratory?,Navigate,Laboratory
How do I reach Blood Collection?,Navigate,Blood Collection
How do I reach Cafeteria?,Navigate,Cafeteria
How do I reach Coffee Shop?,Navigate,Coffee Shop
How do I reach Prayer Room?,Navigate,Prayer Room
How do I reach ATM?,Navigate,ATM
How do I reach Cardiology?,Navigate,Cardiology
How do I reach Neurology?,Navigate,Neurology
How do I reach Gastroenterology?,Navigate,Gastroenterology
How do I reach Orthopedics?,Navigate,Orthopedics
How do I reach Pediatrics?,Navigate,Pediatrics
How do I reach ENT?,Navigate,ENT
How do I reach Dermatology?,Navigate,Dermatology
How do I reach Urology?,Navigate,Urology
How do I reach Physiotherapy?,Navigate,Physiotherapy
How do I reach Consultation Room 1?,Navigate,Consultation Room 1
How do I reach Consultation Room 2?,Navigate,Consultation Room 2
How do I reach Radiology?,Navigate,Radiology
How do I reach MRI?,Navigate,MRI
How do I reach CT Scan?,Navigate,CT Scan
How do I reach Ultrasound?,Navigate,Ultrasound
How do I reach ICU?,Navigate,ICU
How do I reach NICU?,Navigate,NICU
How do I reach PICU?,Navigate,PICU
How do I reach Operation Theatre 1?,Navigate,Operation Theatre 1
How do I reach Operation Theatre 2?,Navigate,Operation Theatre 2
How do I reach Recovery Room?,Navigate,Recovery Room
How do I reach Ophthalmology?,Navigate,Ophthalmology
How do I reach Dental?,Navigate,Dental
Show me the way to Reception.,Navigate,Reception
Show me the way to Registration.,Navigate,Registration
Show me the way to Billing.,Navigate,Billing
Show me the way to Emergency Department.,Navigate,Emergency Department
Show me the way to Triage.,Navigate,Triage
Show me the way to Pharmacy.,Navigate,Pharmacy
Show me the way to Laboratory.,Navigate,Laboratory
Show me the way to Blood Collection.,Navigate,Blood Collection
Show me the way to Cafeteria.,Navigate,Cafeteria
Show me the way to Coffee Shop.,Navigate,Coffee Shop
Show me the way to Prayer Room.,Navigate,Prayer Room
Show me the way to ATM.,Navigate,ATM
Show me the way to Cardiology.,Navigate,Cardiology
Show me the way to Neurology.,Navigate,Neurology
Show me the way to Gastroenterology.,Navigate,Gastroenterology
Show me the way to Orthopedics.,Navigate,Orthopedics
Show me the way to Pediatrics.,Navigate,Pediatrics
Show me the way to ENT.,Navigate,ENT
Show me the way to Dermatology.,Navigate,Dermatology
Show me the way to Urology.,Navigate,Urology
Show me the way to Physiotherapy.,Navigate,Physiotherapy
Show me the way to Consultation Room 1.,Navigate,Consultation Room 1
Show me the way to Consultation Room 2.,Navigate,Consultation Room 2
Show me the way to Radiology.,Navigate,Radiology
Show me the way to MRI.,Navigate,MRI
Show me the way to CT Scan.,Navigate,CT Scan
Show me the way to Ultrasound.,Navigate,Ultrasound
Show me the way to ICU.,Navigate,ICU
Show me the way to NICU.,Navigate,NICU
Show me the way to PICU.,Navigate,PICU
Show me the way to Operation Theatre 1.,Navigate,Operation Theatre 1
Show me the way to Operation Theatre 2.,Navigate,Operation Theatre 2
Show me the way to Recovery Room.,Navigate,Recovery Room
Show me the way to Ophthalmology.,Navigate,Ophthalmology
Show me the way to Dental.,Navigate,Dental
Navigate to Reception.,Navigate,Reception
Navigate to Registration.,Navigate,Registration
Navigate to Billing.,Navigate,Billing
Navigate to Emergency Department.,Navigate,Emergency Department
Navigate to Triage.,Navigate,Triage
Navigate to Pharmacy.,Navigate,Pharmacy
Navigate to Laboratory.,Navigate,Laboratory
Navigate to Blood Collection.,Navigate,Blood Collection
Navigate to Cafeteria.,Navigate,Cafeteria
Navigate to Coffee Shop.,Navigate,Coffee Shop
